scenario,scenario_label,sector,subsector,technology,canonical_technology,capital_premium,fixedOM_premium,variableOM_premium,factor_source,capital_formal_use,fixedOM_formal_use,variableOM_formal_use,source_ids,assumption_ids,keep_variable_OM_unchanged,mapping_note
low,HK_cost_premium_low,peak generation,refined liquids,refined liquids_peak_steam/CT,refined_liquids,1.15,1.1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
mid,HK_cost_premium_mid,peak generation,refined liquids,refined liquids_peak_steam/CT,refined_liquids,1.225,1.15,1.05,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
high,HK_cost_premium_high,peak generation,refined liquids,refined liquids_peak_steam/CT,refined_liquids,1.3,1.2,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
low,HK_cost_premium_low,subpeak generation,coal,coal_subpeak_conv pul,coal_conv_pul,1.2,1.15,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
mid,HK_cost_premium_mid,subpeak generation,coal,coal_subpeak_conv pul,coal_conv_pul,1.3,1.225,1.2,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
high,HK_cost_premium_high,subpeak generation,coal,coal_subpeak_conv pul,coal_conv_pul,1.4,1.3,1.3,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
low,HK_cost_premium_low,subpeak generation,gas,gas_subpeak_CC,gas_intermediate_steam_CT,1.25,1.5,1.33,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
mid,HK_cost_premium_mid,subpeak generation,gas,gas_subpeak_CC,gas_intermediate_steam_CT,1.4,1.55,1.36,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
high,HK_cost_premium_high,subpeak generation,gas,gas_subpeak_CC,gas_intermediate_steam_CT,1.55,1.6,1.41,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
low,HK_cost_premium_low,subpeak generation,gas,gas_subpeak_CC_CCS,fossil_CCS,1.25,1.2,1.15,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
mid,HK_cost_premium_mid,subpeak generation,gas,gas_subpeak_CC_CCS,fossil_CCS,1.375,1.275,1.25,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
high,HK_cost_premium_high,subpeak generation,gas,gas_subpeak_CC_CCS,fossil_CCS,1.5,1.35,1.35,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
low,HK_cost_premium_low,subpeak generation,gas,gas_subpeak_steam/CT,gas_intermediate_steam_CT,1.25,1.5,1.33,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
mid,HK_cost_premium_mid,subpeak generation,gas,gas_subpeak_steam/CT,gas_intermediate_steam_CT,1.4,1.55,1.36,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
high,HK_cost_premium_high,subpeak generation,gas,gas_subpeak_steam/CT,gas_intermediate_steam_CT,1.55,1.6,1.41,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
low,HK_cost_premium_low,subpeak generation,refined liquids,refined liquids_subpeak_CC,refined_liquids,1.15,1.1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
mid,HK_cost_premium_mid,subpeak generation,refined liquids,refined liquids_subpeak_CC,refined_liquids,1.225,1.15,1.05,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
high,HK_cost_premium_high,subpeak generation,refined liquids,refined liquids_subpeak_CC,refined_liquids,1.3,1.2,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
low,HK_cost_premium_low,subpeak generation,refined liquids,refined liquids_subpeak_CC_CCS,refined_liquids_CCS,1.25,1.2,1.15,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
mid,HK_cost_premium_mid,subpeak generation,refined liquids,refined liquids_subpeak_CC_CCS,refined_liquids_CCS,1.375,1.275,1.25,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
high,HK_cost_premium_high,subpeak generation,refined liquids,refined liquids_subpeak_CC_CCS,refined_liquids_CCS,1.5,1.35,1.35,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
low,HK_cost_premium_low,subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,refined_liquids,1.15,1.1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
mid,HK_cost_premium_mid,subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,refined_liquids,1.225,1.15,1.05,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
high,HK_cost_premium_high,subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,refined_liquids,1.3,1.2,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
